商品名称,销量,折前价格,折后价格
【良品铺子开口笑甘栗120gx2】栗子熟制板栗仁新鲜坚果炒货休闲零食,976,18.80,18.80
良品铺子&nbsp;鲜切薯条（原味/蜂蜜黄油味）&nbsp;100gx1袋,1366,14.90,10.90
良品铺子&nbsp;黑麦高纤苏打饼干(奶盐味)&nbsp;248gx1袋,134,12.90,11.90
良品铺子&nbsp;北海道风味蛋糕卷(香蕉味)&nbsp;160gx1袋,78,8.90,8.90
良品铺子&nbsp;香辣卤藕&nbsp;168g×1袋,1255,13.90,12.90
良品铺子&nbsp;素小烧（香辣味）&nbsp;200gx1袋,639,14.90,10.90
良品铺子&nbsp;坚果车轮面包果仁全麦吐司&nbsp;500gx1箱,661,26.90,19.90
良品铺子&nbsp;鲜炖银耳羹&nbsp;200gx2罐z,327,19.00,10.90
良品铺子&nbsp;蛋奶脆华夫&nbsp;105gx1袋,1751,18.06,8.90
良品铺子&nbsp;枣夹核桃（量贩装）约100袋&nbsp;1000gx1箱,2692,59.90,59.00
良品铺子&nbsp;山楂片&nbsp;250gx1袋,54,13.90,11.90
良品铺子&nbsp;葡萄干沙琪玛&nbsp;500gx2箱,364,31.80,19.90
良品铺子&nbsp;海苔蛋松卷&nbsp;92gx1盒,944,13.90,12.90
良品铺子&nbsp;高山小土豆&nbsp;烧烤味&nbsp;205gx1袋,128,16.50,12.90
良品铺子&nbsp;鲜蛋酥沙琪玛&nbsp;500g/箱,91,15.90,10.90
良品铺子&nbsp;虾片（原味/烤肉味）&nbsp;25gx2袋,869,7.90,7.90
良品铺子&nbsp;香辣海带&nbsp;218gx1袋,1036,12.90,12.90
良品铺子&nbsp;山楂饴&nbsp;250gx1袋,767,11.90,10.90
良品铺子&nbsp;肉松饼&nbsp;营养早餐&nbsp;380gx2袋,1725,39.00,19.90
良品铺子&nbsp;虎皮凤爪(卤香味)&nbsp;68g×1袋,41,13.90,10.90
良品铺子&nbsp;华夫饼（奶香味）&nbsp;224gx1袋,495,22.90,18.90
良品铺子&nbsp;葡萄干（无核白葡干/黑加仑葡干）&nbsp;180gx1袋&nbsp;mj,373,32.00,12.90
良品铺子&nbsp;面筋卷（烧烤味）&nbsp;120gx1袋,1951,16.50,11.90
良品铺子&nbsp;海鲜风味锅巴&nbsp;75gx1袋&nbsp;mj,919,18.00,7.90
良品铺子&nbsp;轻甜芒果干&nbsp;80gx1袋,424,14.90,12.90
良品铺子&nbsp;麻辣鸡丝&nbsp;100gx1袋,31,10.90,10.90
良品铺子&nbsp;红枣杞子沙琪玛&nbsp;270gx1袋,24,12.90,12.90
良品铺子&nbsp;巧克力华夫脆&nbsp;66gx1袋,1200,12.90,11.90
良品铺子&nbsp;可可软心糯曲奇&nbsp;112gx1盒,55,21.90,15.90
良品铺子&nbsp;高蛋白肉脯（三种口味可选）&nbsp;100gx1袋,108,15.90,12.90
良品铺子&nbsp;蛋黄酥雪媚娘网红零食&nbsp;320gx1盒,983,19.90,12.00
良品铺子&nbsp;香葱薄饼&nbsp;300gx1袋,23,12.90,12.90
良品铺子&nbsp;虎皮翅尖(麻辣味)&nbsp;100gx1袋,5,12.90,12.90
良品铺子&nbsp;礼包组合/&nbsp;每日坚果（青春版）&nbsp;750g/30袋,786,129.00,68.00
良品铺子&nbsp;脆冬枣（量贩装）&nbsp;400gx1箱,948,49.90,49.90
良品铺子&nbsp;奶香巴旦木&nbsp;100g×3袋,245,41.70,29.80
良品铺子&nbsp;每日坚果蛋白棒&nbsp;200gx2盒,5,30.90,25.80
良品铺子&nbsp;香酥脆灰枣&nbsp;400gx1箱,192,39.00,21.90
良品铺子&nbsp;鹌鹑卤蛋(卤香味)&nbsp;120gx1袋,3,21.80,13.90
良品铺子&nbsp;葡萄干沙琪玛&nbsp;500gx1箱,53,31.80,12.00
良品铺子&nbsp;盐焗鹌鹑蛋卤蛋铁蛋即食小包装&nbsp;散称/约60颗,10,29.90,24.90
良品铺子&nbsp;甘栗80gx3袋,680,26.90,26.90
良品铺子&nbsp;咖啡饼干（拿铁风味）&nbsp;260gx1盒,515,21.00,14.90
良品铺子&nbsp;芒果干&nbsp;60gx1袋,230,9.90,9.90
良品铺子&nbsp;鱼丸香辣味&nbsp;100g&times;2袋,106,21.90,21.90
良品铺子&nbsp;可可薄饼&nbsp;300gx1盒,7,12.90,9.90
良品铺子&nbsp;鲜拌花生牛肉&nbsp;80gx1袋,0,21.50,16.90
良品铺子&nbsp;芒果干量贩装&nbsp;500gx1袋,2880,38.00,29.90
良品铺子&nbsp;威化饼干（牛奶味/豆乳风味）&nbsp;118gx1袋z,289,26.00,12.90
良品铺子&nbsp;奶香夹心枣&nbsp;100gx1袋,912,24.90,13.90
良品铺子&nbsp;芝士夹心饼干&nbsp;106gx1袋,975,18.00,8.90
良品铺子&nbsp;紫薯仔&nbsp;100g*袋,264,9.90,8.90
良品铺子&nbsp;香卤小黄鱼&nbsp;118gx1袋,40,21.50,15.90
良品铺子&nbsp;迷你小香肠(炭烤味)&nbsp;75gx1袋,382,14.90,12.90
良品铺子&nbsp;薄豆干（甜辣味）&nbsp;160gx1袋&nbsp;mj,543,35.00,12.90
良品铺子&nbsp;奥尔良风味小鸡腿(鸡翅根)&nbsp;108gx1袋,76,17.90,15.90
良品铺子&nbsp;枣仁派红枣夹核桃仁果干&nbsp;140gx1袋,28,21.50,15.90
良品铺子&nbsp;每日坚果坚果青春活力版&nbsp;750g/30小袋,34,70.00,56.00
良品铺子&nbsp;虎皮蛋糕&nbsp;500gx1箱,172,24.90,24.90
良品铺子&nbsp;每日缤纷坚果&nbsp;综合果仁30包&nbsp;750gx1盒,701,139.00,99.00
良品铺子&nbsp;每日坚果500g(5坚果4果干)&nbsp;罐装&nbsp;混合坚果,23,42.90,29.90
良品铺子&nbsp;鸭锁骨（甜辣味）&nbsp;200gx1袋&nbsp;mj,525,46.00,24.90
良品铺子&nbsp;乳清蛋白面包棒&nbsp;500gx1箱,81,26.90,19.80
良品铺子&nbsp;酥脆薄饼（原味/海苔味/酱汁烧烤味）&nbsp;300g*1盒,1647,34.00,15.90
良品铺子&nbsp;海带结（香辣味/藤椒味）&nbsp;150gx1袋,689,13.23,9.90
良品铺子&nbsp;小鱼仔（香辣味）&nbsp;120gx1袋,276,19.90,13.90
良品铺子&nbsp;麻辣花生&nbsp;花生米即食酥脆花生仁&nbsp;100gx1袋,2268,9.90,7.90
良品铺子&nbsp;枣夹核桃&nbsp;700gx1箱,4339,67.00,39.90
良品铺子&nbsp;肉松饼&nbsp;380gx1袋,726,19.90,15.90
良品铺子&nbsp;棒棒卷（火辣味）&nbsp;100gx1袋,513,11.90,8.90
良品铺子&nbsp;螺蛳粉&nbsp;300gx1袋,935,17.80,14.90
良品铺子&nbsp;手撕面包&nbsp;330gx1袋,631,20.90,14.90
良品铺子&nbsp;蔓越莓干&nbsp;100gx1袋,404,25.80,13.90
良品铺子&nbsp;多味花生&nbsp;148gx1袋,1268,9.90,9.90
良品铺子&nbsp;小米锅巴（麻辣味/五香味）&nbsp;90gx1袋,1288,13.80,7.90
良品铺子&nbsp;每日坚果麦片/每日酸奶麦片&nbsp;400gx1袋,3027,60.00,19.90
良品铺子&nbsp;鱼豆腐（原味/烧烤味/香辣味）&nbsp;170g*1袋&nbsp;mj,1340,34.00,13.90
良品铺子&nbsp;香酥大麻花/红糖小麻花&nbsp;160gx1袋,2647,8.90,8.90
良品铺子&nbsp;怪味胡豆&nbsp;120gx1袋,558,11.80,7.90
良品铺子&nbsp;山珍鱿鱼&nbsp;70gx1袋,13,16.90,10.90
良品铺子&nbsp;山楂糖葫芦串串山楂糕&nbsp;400g/约30根,1199,29.90,24.90
良品铺子&nbsp;小兔山楂棒&nbsp;85gx3袋,731,45.00,25.90
良品铺子&nbsp;特好剥碧根果&nbsp;500gx1罐,895,66.90,49.90
良品铺子&nbsp;斗笠小米锅巴量贩装&nbsp;360gx1袋,353,14.90,12.90
良品铺子&nbsp;乐享山楂家庭装&nbsp;1018gx1箱,129,34.90,29.90
良品铺子&nbsp;苏打夹心饼干(柠檬味)&nbsp;270gx1袋,158,13.90,13.90
良品铺子&nbsp;酥脆薄饼&nbsp;300g*3盒,1161,26.90,38.80
良品铺子&nbsp;奇亚籽低脂全麦吐司&nbsp;1000gx1箱,150,26.90,26.90
良品铺子&nbsp;坚果奶芙&nbsp;380gx1箱,8,24.90,21.90
良品铺子&nbsp;脆辣棒（香辣味）&nbsp;75gx1袋&nbsp;mj,384,17.00,7.90
良品铺子&nbsp;香卤铁蛋五香味&nbsp;128gx3袋,396,42.90,32.90
良品铺子&nbsp;猪肉脯（原味/香辣味）&nbsp;100gx2袋,681,31.80,24.80
良品铺子&nbsp;蛋黄脆脆面盒装&nbsp;独立小包装&nbsp;250g/8袋,6,14.90,10.90
良品铺子&nbsp;香葱薄饼&nbsp;480gx1袋,13,16.90,16.90
良品铺子&nbsp;脆冬枣&nbsp;35gx2袋,1384,19.60,13.90
良品铺子&nbsp;脆爽笋节（泡椒味）&nbsp;120gx1袋,469,16.90,10.90
良品铺子&nbsp;新疆免洗枣&nbsp;500gx2袋,2234,60.00,27.80
良品铺子&nbsp;辣子鸡&nbsp;80gx1袋,39,15.90,15.90
良品铺子&nbsp;天日盐小圆饼&nbsp;102gx2袋,236,17.90,10.90
良品铺子&nbsp;裙带菜（香辣味）&nbsp;160gx1袋,389,13.90,10.90
良品铺子&nbsp;加州西梅&nbsp;量贩装&nbsp;508gx1袋,86,32.90,19.90
良品铺子&nbsp;爆浆果心山楂（草莓味+蓝莓味）&nbsp;105gx1袋,18,12.90,12.90
良品铺子&nbsp;热干面&nbsp;154gx1袋&nbsp;mj,885,13.00,7.90
良品铺子&nbsp;智利蓝莓干&nbsp;70gx1袋,22,22.00,13.90
良品铺子&nbsp;枣夹核桃&nbsp;118gx1袋,17,12.90,12.90
良品铺子&nbsp;火锅素毛肚&nbsp;105gx1袋,20,12.90,9.90
良品铺子&nbsp;拉面丸子（麻辣味）&nbsp;85gx1袋&nbsp;mj,481,16.00,8.90
良品铺子&nbsp;鸡翅尖（奥尔良风味）&nbsp;158gx1袋,16,24.00,15.90
良品铺子&nbsp;七彩蔬菜干&nbsp;50gx2袋,486,15.80,15.80
良品铺子&nbsp;牛板筋(麻辣味)&nbsp;60gx1袋,19,14.90,14.90
良品铺子&nbsp;杨梅王&nbsp;108gx1袋,396,12.90,10.90
良品铺子&nbsp;柠檬夹心饼干&nbsp;160gx1盒,9,12.90,12.90
良品铺子&nbsp;高蛋白肉脯整箱装&nbsp;500gx1箱（约27小包）,518,44.90,44.90
良品铺子&nbsp;醇香老卤肉干&nbsp;50gx1袋,83,14.90,10.90
良品铺子&nbsp;燕窝银耳羹（冲泡即食）&nbsp;90gx1盒（内含6袋）,19,59.00,34.90
良品铺子&nbsp;火锅嫩鱼丸&nbsp;88gx1袋,21,14.50,9.90
良品铺子&nbsp;虎皮风爪（香辣味）&nbsp;200gx1袋,1266,39.80,21.90
良品铺子&nbsp;开口笑甘栗120g&times;3袋,3674,25.90,19.90
良品铺子&nbsp;吸吸布丁（草莓味/葡萄味）&nbsp;60gx6袋,802,40.00,29.70
良品铺子&nbsp;椰果布丁&nbsp;360g/3个装,1922,9.90,9.90
良品铺子&nbsp;什锦每日麦片即食麦片400g*2袋&nbsp;（坚果麦片*1袋+酸奶麦片*1袋）,556,52.80,39.80
良品铺子&nbsp;莓莓熔岩曲奇球&nbsp;100gx1袋&nbsp;mj,371,26.00,9.90
良品铺子&nbsp;什锦装Q弹豆干(3种口味约30小包)&nbsp;320gx1袋,133,14.90,12.90
良品铺子&nbsp;乳清面包棒&nbsp;500gx1箱,19,29.90,18.90
良品铺子&nbsp;甜辣鸭脖&nbsp;190gx2袋,790,33.80,32.90
良品铺子&nbsp;蒜蓉纤丝扇贝&nbsp;45gx1袋,11,14.90,14.90
良品铺子&nbsp;牛乳沙琪玛&nbsp;500g,1075,44.00,29.80
良品铺子&nbsp;冻干草莓干&nbsp;草莓脆&nbsp;20gx1袋,2052,15.80,9.90
良品铺子&nbsp;高蛋白肉脯自然片&nbsp;100gx3袋,2024,47.00,24.90
良品铺子&nbsp;南瓜酥&nbsp;75gx2袋,579,22.00,10.90
良品铺子&nbsp;巴蜀牛肉（麻辣味）&nbsp;100gx3袋,1606,35.80,35.80
良品铺子&nbsp;每日7坚果纯坚果礼盒&nbsp;750g/30小包,143,169.00,89.00
良品铺子&nbsp;山药脆片(孜然味)&nbsp;70gx1袋,1186,8.90,6.90
良品铺子&nbsp;花椒锅巴（爆辣味/椒香味）&nbsp;108gx1袋,1359,13.80,12.90
【良品铺子开口笑甘栗120g】栗子熟制板栗仁新鲜坚果炒货休闲零食,427,10.90,10.90
良品铺子&nbsp;香芋夹心蛋卷&nbsp;400gx1盒,12,19.90,12.90
良品铺子&nbsp;糯米小麻花&nbsp;160gx1袋&nbsp;mj,659,19.00,7.90
良品铺子&nbsp;猪肉脯（原味/芝麻味）&nbsp;100g*3袋,797,40.70,34.90
良品铺子&nbsp;山楂棒棒卷&nbsp;120gx1袋,156,12.90,9.90
良品铺子&nbsp;低脂鸡胸肉(黑椒味)&nbsp;100gx1袋,174,21.50,10.90
良品铺子&nbsp;手撕轻风干牛肉干量贩装&nbsp;400gx1袋,260,129.00,89.00
良品铺子&nbsp;猪肉粒（XO酱）&nbsp;98g*1袋,322,24.90,24.90
良品铺子&nbsp;慢卤小香菇(烧烤味)&nbsp;105gx1袋,12,19.50,14.90
良品铺子&nbsp;甜辣嫩鸭舌&nbsp;40gx1袋,245,13.90,12.90
良品铺子&nbsp;虾夷扇贝（香辣味）&nbsp;45gx1袋,4,14.90,14.90
良品铺子&nbsp;迷你烤香肠（炭烤味/香辣脆骨味）&nbsp;145gx2袋,1995,38.90,37.80
良品铺子&nbsp;话梅味西瓜子&nbsp;650gx1袋,122,39.90,39.90
良品铺子&nbsp;奇亚籽苏打饼干（海苔味）&nbsp;250g×1袋,128,25.90,12.90
良品铺子&nbsp;牛肉夹心饼干牛肉馅薄脆饼干&nbsp;120g/盒,931,49.90,12.90
良品铺子&nbsp;可可薄饼&nbsp;480gx1袋,1,19.90,16.90
良品铺子&nbsp;吮指鸭锁骨(青花椒味)&nbsp;300gx1袋,2,39.90,29.90
良品铺子&nbsp;果蔬海苔脆&nbsp;38.4g/内含8小包,3,15.90,15.90
良品铺子&nbsp;野山笋（泡椒味）量贩装&nbsp;600gx1袋,86,79.90,42.90
良品铺子&nbsp;脆脆虾味条&nbsp;360gx1袋（含20小包）,853,21.00,15.90
良品铺子&nbsp;烧烤小黄鱼&nbsp;100gx2袋,1256,30.90,30.90
良品铺子&nbsp;鱼豆腐（烧烤味）&nbsp;170gx3袋,1062,52.00,39.80
良品铺子&nbsp;琥珀核桃仁&nbsp;170gx1袋,116,23.00,17.00
良品铺子&nbsp;芝麻鸡蛋卷&nbsp;200gx1袋,12,25.00,15.90
良品铺子&nbsp;沙拉薯条&nbsp;140gx1袋,535,12.90,12.90
良品铺子&nbsp;特好剥碧根果（奶香味）&nbsp;120gx1袋,614,26.90,19.90
良品铺子&nbsp;炭烧腰果&nbsp;120gx1袋,647,16.80,16.80
良品铺子&nbsp;五香牛肉干&nbsp;80gx1袋,584,23.90,21.90
良品铺子&nbsp;芝士手撕面包&nbsp;1000gx1箱,398,29.80,19.90
良品铺子&nbsp;奶香巴旦木&nbsp;120gx1袋,1965,18.90,12.90
良品铺子&nbsp;东北红松&nbsp;300g/袋,589,29.90,29.90
良品铺子&nbsp;迷你小香肠&nbsp;145gx1袋,567,22.90,18.90
良品铺子&nbsp;手造麻薯（芒果味/抹茶味/红豆味）&nbsp;150g*1袋,1896,21.00,7.90
良品铺子&nbsp;咸蛋黄一口酥&nbsp;165gx1盒,437,29.60,15.90
【良品铺子巧豆皮60gx2】网红辣条味辣皮辣片麻辣小零食小吃香辣,2955,9.90,9.90
良品铺子&nbsp;水牛乳千层手撕面包&nbsp;1000gx1箱,77,22.90,19.90
良品铺子&nbsp;大罐快乐每日坚果&nbsp;520gx1罐,210,49.90,27.90
良品铺子&nbsp;臭豆腐（香辣味）&nbsp;120gx1袋,598,22.80,12.90
良品铺子&nbsp;香卤铁蛋（香辣味/五香味）&nbsp;128gx1袋,2048,19.90,16.90
良品铺子&nbsp;猪肉脯（原味/香辣味/芝麻味）&nbsp;200gx2袋,4305,59.40,39.80
良品铺子&nbsp;果丹皮250g&nbsp;x1袋,174,11.90,10.90
良品铺子&nbsp;奶香夏威夷果&nbsp;120gx1袋,1728,29.80,13.90
良品铺子&nbsp;大罐快乐每日坚果&nbsp;400gx1罐,5649,59.90,19.90
良品铺子&nbsp;每日坚果(青春版)&nbsp;750gx1盒（30包）,27026,89.00,59.00
良品铺子&nbsp;手撕面包（量贩装）营养早餐&nbsp;1000gx1箱,29096,29.90,19.90
良品铺子&nbsp;巴蜀牛肉（麻辣味）&nbsp;100gx1袋,585,29.00,18.90
良品铺子&nbsp;芝麻夹心海苔&nbsp;35gx1袋,1389,9.90,9.90
良品铺子&nbsp;罐装美国开心果&nbsp;500gx1罐,952,129.00,54.90
良品铺子&nbsp;酥脆薄饼（原味/海苔味）&nbsp;300gx2盒,10658,26.90,21.90
良品铺子&nbsp;猕猴桃片&nbsp;100gx1袋,744,15.40,7.90
良品铺子&nbsp;日式岩烧芝士脆（内含约22小包）&nbsp;240gx1盒,1518,24.50,13.90
良品铺子&nbsp;甘栗仁&nbsp;80gx1袋,313,17.90,9.90
良品铺子&nbsp;紫米面包吐司早餐&nbsp;555gx1箱,5086,29.90,21.90
良品铺子&nbsp;芒果干&nbsp;108g*3袋,7411,27.90,21.90
良品铺子&nbsp;巨型零食大礼包30袋零食礼包&nbsp;猪事顺利礼包,5444,179.00,105.00
良品铺子&nbsp;美式西梅&nbsp;108gx1袋,467,10.90,9.90
良品铺子&nbsp;风味猪肉脯自然片（香辣味/芝麻味/原味/蜜汁味）&nbsp;100gx1袋,2963,38.00,16.90
