标题,链接,摘要,日期
2025 F1中国大奖赛期间， 沙特阿美为观众打造体,http://www.ocpe.com.cn/baoliao/9036.html, 从左至右:中篮联(北京)体育有限公司总经理蒋健、阿美亚洲公共事务副总裁优素福&middot;穆泰里、阿美亚洲总裁赛乐&middot;扎伊德、姚基金创始人姚明以及中国足球传奇人物范 ... ,发布日期：2025-03-27
蒙牛领跑行业 率先发布乳业首个TNFD报告,http://www.ocpe.com.cn/baoliao/7633.html,4月22日，蒙牛集团发布乳业首份TNFD报告（自然相关财务信息披露框架），披露了蒙牛在生产过程及供应链端的自然相关管理实践，在提升企业治理透明度的同时，彰显了蒙牛深入践 ... ,发布日期：2024-04-22
首届中国 (成都) 现代中医药慢病防治 及守正创新,http://www.ocpe.com.cn/baoliao/2023-11-16/7075.html,新时代以来，中央多次强调中医药是中华民族的瑰宝，是优秀传统文化的重要载体。今年2月，国办下发《中医药振兴发展重大工程实施方案》，明确提出到2025年，要明显提升中医药 ... ,发布日期：2023-11-16
童周胜：ENMA给予塑料新生命,http://www.ocpe.com.cn/baoliao/2023-09-05/6763.html,  童周胜拍摄于意大利.米兰150年前人类发明了一种轻薄，结实价廉的材料。今天这种“奇迹材料”从医疗器械到航空机械等领域里都功不可没。尽管如此，联合国环境规 ... ,发布日期：2023-09-05
江苏省电源学会成立，博兰得CEO徐明当选副理事长,http://www.ocpe.com.cn/baoliao/2023-08-28/6707.html,8月18日上午，由南京航空航天大学、东南大学、中国矿业大学、江苏大学、南京博兰得电子科技有限公司等单位联合发起的江苏省电源学会在南京成立，并于南京航空航天大学将军路 ... ,发布日期：2023-08-28
加油站迎来绿色发展窗口期 中能链低碳运营、新能,http://www.ocpe.com.cn/baoliao/2023-08-21/6678.html,日前，在全国生态环境保护大会上，“推动形成绿色发展方式和生活方式”被提到新的战略高度。特别是在碳达峰、碳中和目标的背景下，“含绿量”成了绕不 ... ,发布日期：2023-08-21
三江源、大熊猫国家公园金银纪念币发行,http://www.ocpe.com.cn/baoliao/2023-08-20/6676.html,2023年8月19日，三江源、大熊猫国家公园金银纪念币由中国人民银行正式发行。其中，金质纪念币2枚，银质纪念币2枚，均为中华人民共和国法定货币。金银纪念币正面图案均为中华 ... ,发布日期：2023-08-20
探寻数据中心UPS储能技术的发展路径,http://www.ocpe.com.cn/baoliao/7472.html,探寻数据中心UPS储能技术的发展路径 ... ,发布日期：2023-08-12
国家宝藏（文明曙光）金银币市场如何，值得入手,http://www.ocpe.com.cn/baoliao/2023-07-25/6577.html,国家宝藏（文明曙光）金银纪念币于今日发行，该套金银纪念币共5枚，包括2枚小规格金币和3枚15克银币。图案样式均为博物馆的国宝文物，分别为中国国家博物馆的玉龙、陶鹰鼎、 ... ,发布日期：2023-07-25
专注健康建筑解决方案 康宅超净打造舒适高效健康,http://www.ocpe.com.cn/baoliao/2023-03-15/6066.html,随着生活水平的不断提升，人们对自身的身体健康越来越重视，对于建筑环境的空气质量要求也越来越高，尤其是近年来，降低PM2.5浓度、除粉尘、净化甲醛、隔绝病毒传播的呼声愈 ... ,发布日期：2023-03-15
碳手印意味着什么？,http://www.ocpe.com.cn/baoliao/2022-05-18/5325.html,         在全球能源转型的道路上，欧洲无疑是公认的先锋。20世纪70年代发生的两次石油危机，对欧美等发达经济体造成了巨大影响。物资短缺，物价飙涨，失业率也节节攀升。节 ... ,发布日期：2022-05-18
杰瑞股份：坚持“筑巢引凤”，打造人才聚集高地,http://www.ocpe.com.cn/baoliao/2022-01-20/5129.html, 当下，经济增长放缓叠加新冠疫情的冲击，正迫使着企业面临创新受阻以及业绩增长乏力的困扰，在此情形下，人才竞争显得愈发激烈。如何留住人才、吸引人才已成为企业的一门必 ... ,发布日期：2022-01-20
化工废水处理新技术新设备集中亮相！8月25日等你,http://www.ocpe.com.cn/baoliao/2021-07-20/4640.html,         8月25至27日，第十三届上海国际化工环保展览会将在上海新国际博览中心举办，展会将迎来化工环保行业企业大聚会，膜技术、水处理设备、中水回用技术设备、水处理药 ... ,发布日期：2021-07-20
两场奥运会，让这个体育场馆建设“专业户”浮出,http://www.ocpe.com.cn/baoliao/2021-07-19/4632.html,"       落实全民健身国家战略、加快发展体育产业,是我国《体育强国建设纲要》提出的战略总任务,而2021年恰好是体育“大年”,包括东京奥运会、欧洲杯、美洲杯、亚 ... ",发布日期：2021-07-19
小康之后更需进取,http://www.ocpe.com.cn/baoliao/2021-07-13/4615.html,"        我们在发展新型的能源电力系统中,在推进电力、燃气、供热等涉及公共事业的改革中,一直存在一个困惑,是迁就老百姓现实的既得利益,还是从他们长远的、根本的利益出发 ... ",发布日期：2021-07-13
不再斤斤计较 能链团油让大货司机单程省下800元,http://www.ocpe.com.cn/baoliao/2021-01-15/4242.html,    “通过能链团油柴油价格每升便宜了5毛，我单程就省下了800元，女儿一个月的奶粉钱就省出来了。”从成都跑广州单程近1700公里的司机陈刘伟说道。从一个城市到 ... ,发布日期：2021-01-15
能链合伙人刘新桐：数字化为媒 出行能源进入油电,http://www.ocpe.com.cn/baoliao/2021-01-13/4237.html,   1月8日，由山东隆众信息技术有限公司、临沂市石油商会、临沂商贸物流科技产业研究院主办的“2021成品油上下游资源对接大会暨民营加油站可持续发展高峰论坛”在 ... ,发布日期：2021-01-13
首次登榜全球新能源企业500强 能链集团实力领航,http://www.ocpe.com.cn/baoliao/2021-01-08/4228.html,          近日，能链集团又双获奖了，备受关注的“2020全球新能源企业500强榜单”在2020能源转型论坛暨第十届全球新能源企业500强峰会上隆重发布，能链集团首 ... ,发布日期：2021-01-08
这款软件帮助长春货运司机将省钱进行到底,http://www.ocpe.com.cn/baoliao/2021-01-07/4227.html,           每个人都有自己最爱的手机软件，比如时下流行的抖音和快手这类短视频软件。对于货运司机郭有良来说，他最爱的却是一款主打天天特价的加油软件——能链 ... ,发布日期：2021-01-07
高能环境北海应急填埋场3号、5号库区通过验收并,http://www.ocpe.com.cn/baoliao/2021-01-06/4224.html,          近日，北海市市政管理局召开了新闻发布会，介绍了由高能环境承建的北海市白水塘生活垃圾处理厂应急填埋场工程的建设情况。该项目自2020年7月31日开工建设，作为北 ... ,发布日期：2021-01-06
2021中国上海粉末冶金原料、制品及技术设备博览,http://www.ocpe.com.cn/baoliao/2020-12-31/4214.html," 2021中国上海粉末冶金原料、制品及技术设备博览会2021 China International Powder metallurgy Raw materials, products and technical equipment Expo时间：2021年6月27- ... ",发布日期：2020-12-31
冀中股份亿吨铁矿资源勘探全面开工,http://www.ocpe.com.cn/baoliao/2020-12-30/4209.html,         &#8203;12月30日上午，冀中能源股份公司举办白涧铁矿勘探项目开工仪式。随着22台钻机同时发动开钻，具有亿吨储量的年产200万吨白涧铁矿项目进入全面勘探施工阶段。 ... ,发布日期：2020-12-30
包头分公司网格化“把脉问诊”助力设备“强筋壮,http://www.ocpe.com.cn/baoliao/2020-12-27/4204.html,       入冬以来，国家能源投资集团铁路装备有限责任公司包头分公司结合冬季设备运行特点，从总结往年冬季设备高发故障着手，加大检查力度，排除设备隐患，深度剖析设备故障 ... ,发布日期：2020-12-27
专访爱普生(中国)有限公司总裁深石明宏 厚植绿色,http://www.ocpe.com.cn/baoliao/2020-12-24/4199.html,"          使用过的文件纸张,通过纤维分离、强化粘合和按压成型三步,便可转化为环保再生纸,1小时可产纸720张。最令人惊奇的是,纸张再生过程无需消耗水资源。在第三届中国国 ... ",发布日期：2020-12-24
喜报！华锐风电SL2500/141风力发电机组荣获特等,http://www.ocpe.com.cn/baoliao/2020-12-24/4189.html,          近日，由酒泉市企业技术中心和工业优秀新产品评选工作组组织评审的2020酒泉市工业优秀新产品名单进行公示，华锐风电科技(甘肃)有限公司的SL2500/141风力发电机组 ... ,发布日期：2020-12-24
宏观经济会议周启动：明年结构性减税力度有望加,http://www.ocpe.com.cn/baoliao/2013-12-25/2418.html,       				原标题：宏观经济&ldquo;会议周&rdquo;启动12月10日，一年一度的中央经济工作会议开幕，按照惯例，此次会议会期可能为3天。根据21世纪经济报道记者了解，全国城镇化工作会议也将在本 ... ,发布日期：2013-12-25
环保部下放25项环评审批 专家：确保环评不是走过,http://www.ocpe.com.cn/baoliao/2013-12-25/2419.html,       				原标题：环保部下放25项环评审批12月10日，环保部发布公报，下放25个建设项目的环评审批至省级环保部门。环保部有关负责人表示，下放的25项审批主要是基础设施类和环境影响较小的项目 ... ,发布日期：2013-12-25
媒体称内地投资重点调整：均面临高铁建完怎么办,http://www.ocpe.com.cn/baoliao/2013-12-25/2416.html,       				原标题：2014年将启动扩大内需政策 投资重点部分调整明后年全国高铁建完了怎么办？这个问题摆在各地政府首脑的面前。21世纪经济报道记者获悉，随着今年年底沪蓉（上海到成都）、厦门 ... ,发布日期：2013-12-25
媒体：人社部着手落实2020全民参保登记计划,http://www.ocpe.com.cn/baoliao/2013-12-25/2417.html,       				原标题：人社部着手全民参保登记21世纪经济报道记者独家获悉，人力资源和社会保障部已经开始落实2020年社保全覆盖，实施&ldquo;全民参保登记计划&rdquo;，加快发放和使用全国统一的社 ... ,发布日期：2013-12-25
国资委：央企申请混合所有制试点尚无具体方案,http://www.ocpe.com.cn/baoliao/2013-12-25/2414.html,       				原标题：央企申请混合所有制试点尚无具体方案刚刚公布的三中全会《决定》中，提出积极发展混合所有制，就有央企向国资委提出试点要求，但由于对央企分类、试点的企业层级等问题尚无明 ... ,发布日期：2013-12-25
年底“三公”紧箍咒：国务院连续发文约束,http://www.ocpe.com.cn/baoliao/2013-12-25/2415.html,       				原标题：年底&ldquo;三公&rdquo;紧箍咒：国务院连续发文约束年终将至，&ldquo;三公&rdquo;经费监管再念紧箍咒。近日，国务院连发两文，对公务接待等&ldquo;三公&rdquo;内容做了更严格 ... ,发布日期：2013-12-25
中国铁路总公司下属18个铁路局或明年启动整合,http://www.ocpe.com.cn/baoliao/2013-12-25/2412.html,       				原标题：铁路改革再下一城：18路局整合或明年启动 中国铁路总公司下属的18个铁路局整合可能在即。一位高铁公司高层告诉21世纪经济报道记者，根据他所获悉的信息，路局的整合可能在明 ... ,发布日期：2013-12-25
媒体称中国国有企业将被分为三类进行管理,http://www.ocpe.com.cn/baoliao/2013-12-25/2413.html,       				据中国证券报近日报道，中国在国资监管体制方面，可能建立三类国有资本管理平台，即产业投资公司、国资投资控股公司、国资运营公司，数量在几家至十几家，分别侧重产业发展、资本投资 ... ,发布日期：2013-12-25
中纪委解读官邸制：领导一旦离岗应及时腾退,http://www.ocpe.com.cn/baoliao/2013-12-25/2411.html,       				原标题：中纪委解读&ldquo;官邸制&rdquo;12月11日，中纪委发文对&ldquo;官邸制&rdquo;和规范领导干部住房用车等事项作进一步解释。十八届三中全会《决定》提出&ldquo;规范并严格执行 ... ,发布日期：2013-12-25
国务院：农产品质量安全纳入地方官员政绩考核,http://www.ocpe.com.cn/baoliao/2013-12-25/2407.html,       				原标题：农产品安全纳入地方官员政绩考核本报记者 孙春芳 北京报道12月11日，国务院办公厅发布《关于加强农产品质量安全监管工作的通知》（下称国发106号文），明确提出要把农产品质 ... ,发布日期：2013-12-25
多部委严打囤地 工业用地价格将提高,http://www.ocpe.com.cn/baoliao/2013-12-25/2404.html,       				原标题：多部委严打囤地 工业用地价格将提高&ldquo;新土改&rdquo;临近，与之配套的工业用地制度改革方案，亦逐步清晰。国土部副部长胡存智曾在一次内部会议上表态称，国土资源部将修 ... ,发布日期：2013-12-25
上海环测中心：数据经验积累不足致预报PM2.5困难,http://www.ocpe.com.cn/baoliao/2013-12-25/2402.html,       				原标题：雾霾预报员的烦恼12月以来，每天凌晨5点，上海市环境监测中心的预报员们就开始上班了：看数据，密集会商，跟踪报告，和气象部门随时无缝会商，24小时分时段发布空气质量指数 ... ,发布日期：2013-12-25
环保罚款追问：华东四律师申请治污费信息公开,http://www.ocpe.com.cn/baoliao/2013-12-25/2403.html,       				原标题：环保罚款追问：华东四律师申请治污费信息公开上海一位化工企业主从同行那里了解到，稽查人员经常&ldquo;光临&rdquo;他们这里，可能是因为并没有&ldquo;摆平&rdquo;稽查人员。 ... ,发布日期：2013-12-25
人社部：渐进式延迟退休与青年就业不矛盾,http://www.ocpe.com.cn/baoliao/2013-12-25/2400.html,       				原标题：人社部：渐进式延退与青年就业不矛盾12月12日，人力资源和社会保障部国务院新闻办举行新闻发布会，人社部副部长胡晓义就&ldquo;延迟退休&rdquo;是否会加大就业压力，&ldquo; ... ,发布日期：2013-12-25
粮食安全提至首位 2014改革战略将陆续出台,http://www.ocpe.com.cn/baoliao/2013-12-25/2398.html,       				原标题：粮食安全提至首位 2014改革战略将陆续出台一位专家认为，明年GDP目标不一定会定在7%，因为新的中央经济工作会议的表态是，要保持国内生产总值的合理增长。本报记者 定军 北京 ... ,发布日期：2013-12-25
破解地方化 司法改革路线图浮现,http://www.ocpe.com.cn/baoliao/2013-12-25/2395.html,       				原标题：破解地方化 司法改革路线图浮现本报记者 王峰 北京报道十八届三中全会后，新一轮司法体制改革正在积极酝酿。本报记者获悉，司法改革中最受瞩目的保障司法独立，将着力解决司 ... ,发布日期：2013-12-25
青岛31家医院卷入上海医药“红源达”黑洞,http://www.ocpe.com.cn/baoliao/2013-12-25/2392.html,       				原标题：26%销售收入流向之谜青岛31家医院卷入&ldquo;红源达&rdquo;隐秘黑洞本报记者李微敖北京报道上海医药集团股份有限公司（601607.SH/02607.HK，下称上海医药）的一款重点药品， ... ,发布日期：2013-12-25
新型城镇化：启动未来20年新发展马达,http://www.ocpe.com.cn/baoliao/2013-12-25/2393.html,       				原标题：新型城镇化：启动未来20年新发展马达本报记者 定军特约记者 孙穆田 北京报道是回西部老家还是去沿海地区？今年22岁，即将在2014年6月毕业的西昌学院大四学生吴学娅选择不大。 ... ,发布日期：2013-12-25
徐绍史谈铁路投资：重点是中西部铁路和城际铁路,http://www.ocpe.com.cn/baoliao/2013-12-25/2390.html,       				原标题：铁路投资重点在中西部和城轨本报记者 孙春芳 北京报道12月15日的全国发展改革工作会议上，发改委主任徐绍史在报告中称，要调整预算内投资结构，大幅压缩用于一般竞争性企业项 ... ,发布日期：2013-12-25
四省问计改革红利 寻找中部市场之手,http://www.ocpe.com.cn/baoliao/2013-12-25/2391.html,       				原标题：四省问计改革红利 寻找中部市场之手随着中国传统经济增长模式&ldquo;天花板&rdquo;显现，人口和土地红利逐步消失，中国中部，正因其资源和区位的不可复制因素，在中国经济增 ... ,发布日期：2013-12-25
骆家辉推销美国房地产 业内人士：金融危机时买太,http://www.ocpe.com.cn/baoliao/2013-12-25/2388.html,       				原标题：骆家辉&ldquo;推销&rdquo;美国房地产江玮（北京）将于明年离任的美国驻华大使骆家辉正在抓紧时间推动更多中国对美国的投资。12月16日，他在美国驻华大使馆举办大使投资论坛， ... ,发布日期：2013-12-25
中国贫富差距缩小难 收入分配改革明年或加快,http://www.ocpe.com.cn/baoliao/2013-12-25/2389.html,       				原标题：贫富差距难见缩小？ 收入分配改革步伐或在2014年加快本报记者 定军 北京报道那些高薪的国企高管，明年或会有更大的顾虑。21世纪经济报道记者获悉，随着十八届三中全会中央全 ... ,发布日期：2013-12-25
内地社保卡发放破5亿 将实现异地就医结算,http://www.ocpe.com.cn/baoliao/2013-12-25/2386.html,       				原标题：社保卡发放破5亿 将实现异地就医结算本报记者 耿雁冰 北京报道进入12月，作为江苏省三个试点城市之一的金坛市，居民陆续领到新的&ldquo;社会保障卡&rdquo;，可查询持卡人的身 ... ,发布日期：2013-12-25
重庆土地市场逼近敏感价位 或威胁住房价格,http://www.ocpe.com.cn/baoliao/2013-12-25/2387.html,       				原标题：熔断式降温？重庆土地市场逼近&ldquo;敏感&rdquo;价位本报记者 程维 重庆报道重庆市土地市场进入12月份后突然火爆，当地政府一度启动&ldquo;熔断&rdquo;机制。21世纪经济报道 ... ,发布日期：2013-12-25
地方债或将须人大审批 中央不对地方债务兜底,http://www.ocpe.com.cn/baoliao/2013-12-25/2384.html,       				原标题：地方债或将须人大审批 中央不对地方债务兜底本报记者 周潇 北京报道近日，中央经济工作会议召开，会议提出了明年经济工作六大主要任务，&ldquo;着力防控债务风险&rdquo;首次 ... ,发布日期：2013-12-25
全面深化改革领导小组热启动 或最快推进城镇化改,http://www.ocpe.com.cn/baoliao/2013-12-25/2385.html,       				原标题：中央全面深化改革领导小组热启动多名专家认为，地方成立的领导小组，将以党委一把手挂帅，这样，中央全面深化改革领导小组由最高层挂帅的可能性比较大。12月13日闭幕的中央经 ... ,发布日期：2013-12-25
中石油“大账房”温青山遭调查 或剑指海外业务反,http://www.ocpe.com.cn/baoliao/2013-12-25/2382.html,       				原标题：中石油&ldquo;大账房&rdquo;温青山遭调查 剑指海外业务反腐？何清 上海报道12月17日，中国石油（601857.SH）发布公告称，公司监事温青山因个人原因提出辞呈，即时生效；同时 ... ,发布日期：2013-12-25
默克尔组阁成功 女接班人将任防长,http://www.ocpe.com.cn/baoliao/2013-12-25/2383.html,       				原标题：默克尔成功组阁陆振华（布鲁塞尔）德国总理默克尔在大选获胜三个月后成功组阁，部长名单也在12月15日公布，新政府预计在12月17日宣誓就职。12月19日的欧盟峰会将是默克尔作为 ... ,发布日期：2013-12-25
海陆丝绸之路所辖省份或确定 沪鲁豫未纳入,http://www.ocpe.com.cn/baoliao/2013-12-25/2380.html,       				原标题：海陆丝绸之路所辖省份或确定 沪鲁豫未纳入争论多时的丝绸之路经济带所辖省份范围，或要告一段落了。  来自国家发改委的消息称，12月14日，国家发改委和外交部联合召开了推进 ... ,发布日期：2013-12-25
北京试点公立医院改革：改变药企与医生利益格局,http://www.ocpe.com.cn/baoliao/2013-12-25/2378.html,       				原标题：公立医院改革&ldquo;北京模式&rdquo; 存量改革第三路径编者按公立医院改革关乎医改成败，但逡巡三载，进展无多。中央高层钦点北京加入试点，在改革的&ldquo;深水区&rdquo;增 ... ,发布日期：2013-12-25
楼市再现上涨预言：这次没人说暴涨,http://www.ocpe.com.cn/baoliao/2013-12-25/2376.html,       				原标题：楼市再现上涨预言：这次没人说暴涨  本报记者 荆宝洁 北京报道  过去数年里，华远地产董事长任志强在一个问题上从没输过。他在12月16日的一个论坛上确凿无疑地宣称，房价仍会 ... ,发布日期：2013-12-25
房价连涨12个月 住建部调研房地产相关税收情况,http://www.ocpe.com.cn/baoliao/2013-12-25/2377.html,       				原标题：房价连涨12个月 住建部调研房地产相关税收情况本报记者 纪睿坤 北京报道12月18日，国家统计局发布70个大中城市的11月份显示，新房价格环比平均涨幅0.6%，其中，69个城市房价 ... ,发布日期：2013-12-25
游戏概念现断崖式跳水 中青宝、华谊兄弟或被调查,http://www.ocpe.com.cn/baoliao/2013-12-25/2374.html,       				原标题：手游凶猛：中青宝、华谊兄弟或被调查编者按抱歉，今天与你见面的《21绿靴》是个提供&ldquo;坏消息&rdquo;的栏目，它以提供上市公司以及相关政策、行业的风险提示信息为主。资 ... ,发布日期：2013-12-25
平安集团“副帅”顾敏离职,http://www.ocpe.com.cn/baoliao/2013-12-25/2375.html,       				原标题：平安集团&ldquo;副帅&rdquo;顾敏离职 高管本土化策略凸显本报记者 包慧 上海报道12月18日，21世纪经济报道记者独家获悉，中国平安集团执行董事兼常务副总经理顾敏已提出辞职 ... ,发布日期：2013-12-25
3.2亿争议费金调查：重庆安监局遭民营油企联合投,http://www.ocpe.com.cn/baoliao/2013-12-25/2372.html,       				原标题：3.2亿争议费金调查：重庆安监局遭民营油企联合投诉本报记者 程维 重庆报道12月9日，重庆市多个区县的石油成品油协会在开县举行了一个非正式的碰头会，主要负责人相互介绍其针 ... ,发布日期：2013-12-25
葛兰素史克改革调查：取消医代销量考核 斩断献金,http://www.ocpe.com.cn/baoliao/2013-12-25/2373.html,       				原标题：GSK欲斩&ldquo;带金销售&rdquo;：取消医代销量考核本报记者 陈时俊 上海报道2013年下半年爆发的GSK（葛兰素史克）中国区商业贿赂案，经过半年的持续发酵与调查扩大，其被赋予 ... ,发布日期：2013-12-25
中石化清理外部油田工程队200余家 资质到期就停,http://www.ocpe.com.cn/baoliao/2013-12-25/2371.html,       				原标题：清理外部油田工程队中石化欲自建油服巨无霸？中石化正对油田工程技术服务公司的资质进行严格审核，对资质过期及到期的油田工程服务公司要求自文件下发日起立即终止施工。本次 ... ,发布日期：2013-12-25
福建平潭对获批自贸区有信心：推进年底封关,http://www.ocpe.com.cn/baoliao/2013-12-25/2369.html,       				原标题：平潭称对获批自贸区有信心：推进年底封关本报记者 赵飞飞实习记者 王雅静 上海报道12月19日，平潭综合实验区封关办林主任在电话中告诉21世纪经济报道记者：&ldquo;年底，平潭 ... ,发布日期：2013-12-25
光大改革内幕：唐双宁曾被告诫银行与集团只保一,http://www.ocpe.com.cn/baoliao/2013-12-25/2362.html,       				原标题：光大改革跌宕内幕编者按光大集团是过去十年中国金融改革诸多样本中最特别的那一个，无论是其&ldquo;红色&rdquo;出身、历史遗产还是现实改革路径选择，其波折反复的冲突性和戏 ... ,发布日期：2013-12-25
200亿元社会抚养费屡遭诟病 计生人员支持取消,http://www.ocpe.com.cn/baoliao/2013-12-25/2363.html,       				原标题：社会抚养费去哪儿了？&ldquo;如果说取消社会抚养费，我第一个举手赞成。&rdquo;江苏某县一名计生干部如此对《第一财经日报》记者吐槽。进入岁末，当单独&ldquo;二孩&rdquo;政 ... ,发布日期：2013-12-25
解读北京医药分开：主要特征是政策联动下平移式,http://www.ocpe.com.cn/baoliao/2013-12-25/2360.html,       				原标题：医药分开&ldquo;北京模式&rdquo;：政策联动下的&ldquo;平移式&rdquo;改革本报记者 刘涌 北京报道看病贵、大处方、医疗贿赂、灰色收入等等医疗领域的问题，都与&ldquo;以药补 ... ,发布日期：2013-12-25
圆通毒快递事故拷问加盟商制 专家：未来应以直营,http://www.ocpe.com.cn/baoliao/2013-12-25/2361.html,       				原标题：生死速递：圆通&ldquo;毒快递&rdquo;拷问加盟商制本报记者曹晟源 上海报道继大量客户信息泄露之后，&ldquo;毒快递&rdquo;事件再次将圆通速递推向风口浪尖。11月27日一件快递 ... ,发布日期：2013-12-25
青岛爆炸力推管网分离 业内人士：不要分设平级单,http://www.ocpe.com.cn/baoliao/2013-12-25/2358.html,       				原标题：解码&ldquo;管网分离&rdquo;寓言：11&middot;22涉事管线&ldquo;沉没资产&rdquo;调查因为缺乏定价空间，更像是&ldquo;成本中心&rdquo;的中石化管道公司总资产占中石化集团的比 ... ,发布日期：2013-12-25
东北西北华东油气管网沥青防腐富寿命仅20年 已多,http://www.ocpe.com.cn/baoliao/2013-12-25/2359.html,       				原标题：油气管网老龄化？　　东北、西北、华东埋藏着一些年老又危险的线路，一些输油管网采用寿命只有20年的沥青防腐，现今防腐层大多老化，配套设施自动化水平较低。本报记者杨志锦 ... ,发布日期：2013-12-25
周大地：油气管网分离不能从概念出发 应先落实用,http://www.ocpe.com.cn/baoliao/2013-12-25/2356.html,       				原标题：专访中国能源研究会副理事长周大地 油气管网分离不能从概念出发他更倾向于先落实气源，再落实用户，再落实管线，理清价格机制的协同式改革。本报记者杨志锦北京报道十八届三 ... ,发布日期：2013-12-25
农业部长：城镇化建设不能消灭农村,http://www.ocpe.com.cn/baoliao/2013-12-25/2357.html,       				原标题：农业部长力挺新农村建设 城镇化建设不能消灭农村本报记者孙春芳北京报道农村工作会议召开期间，12月22日，农业部部长韩长赋借助于新华社的平台，再次发出&ldquo;城镇化建设不 ... ,发布日期：2013-12-25
研究称2030年北京人口可设为3000万 净增人口郊区,http://www.ocpe.com.cn/baoliao/2013-12-25/2354.html,       				原标题：2030年北京人口达到3000万？本报记者 定军 北京报道北京到底最终能容纳多少人口？这个问题已经摆在位居中央和地方政府以及普通居民的面前。10年前的北京编制的《北京城市总体 ... ,发布日期：2013-12-25
南苏丹反对派建临时政府 武装冲突威胁中石油生产,http://www.ocpe.com.cn/baoliao/2013-12-25/2355.html,       				原标题：南苏丹反对派建临时政府 武装冲突威胁中石油生产于盟 （北京）&ldquo;不光用枪，还用炮呢，坦克啊全都上了。&rdquo;身在南苏丹首都朱巴的中石油工作人员讲起近一周的动乱局势 ... ,发布日期：2013-12-25
中央农村工作会议关键词：粮食安全和农业现代化,http://www.ocpe.com.cn/baoliao/2013-12-25/2350.html,       				原标题：中央农村工作会议关键词：粮食安全和农业现代化本报记者孙春芳北京报道12月24日，为期两天的中央农村工作会议在京闭幕。此次会议的主题是用生产新方式促进粮食增产，保障粮食 ... ,发布日期：2013-12-25
媒体称年末流动性紧张：四大行前三周存款流出95,http://www.ocpe.com.cn/baoliao/2013-12-25/2351.html,       				原标题：年末流动性紧张B面 四大行前三周存款流出仅950亿本报记者史进峰北京报道过去一周，货币市场利率声声上涨导演的年末资金迷局，其纷繁芜杂的表象背后，商业银行年底冲刺考核倒 ... ,发布日期：2013-12-25
李连宁谈人大常委会修法：先立后破、立法先行,http://www.ocpe.com.cn/baoliao/2013-12-25/2348.html,       				原标题：&ldquo;先立后破、立法先行&rdquo; 全国人大常委会修法新气象本报记者 马晖 北京报道&ldquo;我赞成这样的修改！&rdquo;李连宁委员说。12月24日下午，人民大会堂，十二届全国 ... ,发布日期：2013-12-25
厦深高铁低价背后大账单：或年预亏20亿,http://www.ocpe.com.cn/baoliao/2013-12-25/2349.html,       				原标题：厦深高铁低价背后的大账单：或年预亏20亿计划于12月28日开通的厦深铁路已经公布了其定价方案：一等座181元，二等座150.5元，核算下来，每人每公里在0.308元左右。有高铁公司 ... ,发布日期：2013-12-25
