标题,链接,摘要,日期
谢钦：中俄两国贸易额有望在今年突破2000亿美元,http://www.ocpe.com.cn/new/new1/2023-10-20/6955.html,"(中国 北京)10月19日,在第三届“一带一路”国际合作高峰论坛圆满闭幕之际,第五届中俄能源商务论坛在京顺利召开。中俄双方能源和相关行业领域人士齐聚一堂,就油气 ... ",发布日期：2023-10-20
俄罗斯红星造船厂正式命名两艘冰级油轮，俄北极,http://www.ocpe.com.cn/new/new1/2023-09-13/6803.html,"近日,俄罗斯滨海边疆区大卡门镇的红星造船厂(Zvezda)举行仪式,为两艘新建造的强化冰级船舶命名。这两艘新船中的一艘为冰级穿梭油轮,另一艘为ARC7冰级液化天然气运输船,其交 ... ",发布日期：2023-09-13
俄罗斯石油公司首席执行官谢钦:能源市场亟需建立,http://www.ocpe.com.cn/new/new1/2023-06-20/6458.html,"近日,俄罗斯石油公司(Rosneft)在第二十六届圣彼得堡国际经济论坛框架下,支持举办了一场能源小组会议,包括中国科学院、清华大学、中国石油集团在内的多个国家学术和企业代表 ... ",发布日期：2023-06-20
马石油与老虎燃气正式达成液化天然气加注业务合,http://www.ocpe.com.cn/new/new1/2023-03-10/6057.html,"【2023年3月7日,上海】马来西亚国家石油公司(简称:马石油)旗下PETRONAS Marine与其长期合作伙伴老虎燃气(TIGER GAS)正式达成液化天然气加注业务合作。今年年初,马石油已成功 ... ",发布日期：2023-03-10
" Panduit 宣布收购 DongWon EN-Tec Co., Ltd. 的",http://www.ocpe.com.cn/new/new1/2023-01-12/5943.html,为亚太地区的海上替代能源与光学通信行业客户拓展产品组合伊利诺伊州，廷利帕克 -（2023 年 1 月 12 日）- 创新性电气和网络基础设施解决方案的全球性领导者 Panduit 泛达公 ... ,发布日期：2023-01-12
沙特阿美子公司S-Oil计划在韩国建造石化裂解装置,http://www.ocpe.com.cn/new/new1/2022-11-22/5807.html,&middot; 是迄今为止沙特阿美在韩国的最大一笔投资，将确保原油的稳定供给&middot; 是TC2C TM热催化原油直接制化学品技术的首次商业化部署，此技术由沙特阿美与鲁玛斯技术公 ... ,发布日期：2022-11-22
2023年扎耶德可持续发展奖申请通道正式开放,http://www.ocpe.com.cn/new/new1/2022-03-21/5210.html," 欢迎中小型企业、非营利组织以及全球高中在2022年7月6日前进行奖项申报(2022年3月16日,迪拜)扎耶德可持续发展奖是阿联酋为表彰提出可持续发展解决方案的组织及高中而设立的 ... ",发布日期：2022-03-21
共建绿色同赢未来 意大利环保展团亮相第四届进博,http://www.ocpe.com.cn/new/new1/2021-11-05/4928.html,       意大利在环保领域的科技水平居于世界前列。近年来，意大利工业和服务业对绿色产品和技术的投资更在快速增长。牛津大学一项研究发现，凭借环境专利申请数量、低二氧化 ... ,发布日期：2021-11-05
宾夕法尼亚州丰沛的天然气资源助力该州塑料产业,http://www.ocpe.com.cn/new/new1/2021-06-21/4560.html,"       哈里斯堡，2021 年 6 月 21 日 - 据宾夕法尼亚州经济发展厅 （DCED） 当地消息，Cardinal System, Inc. 宣布将升级其在宾夕法尼亚州Schuylkill County和York County ... ",发布日期：2021-06-21
REA Consult为中国投资者打开巴西绿色能源的快速,http://www.ocpe.com.cn/new/new1/2020-08-24/3668.html,"  REA Consult是一家全球性的专业可再生能源管理与咨询企业,近日宣布正式进入中国市场,致力于为中国投资者连接拉美和欧洲的绿色可再生能源市场。成立至今,REA Consult 已帮 ... ",发布日期：2020-08-18
“聚焦水-能关系，探索突破关键”绿色和平与中华,http://www.ocpe.com.cn/new/new2/2020-12-29/4207.html,            2020年11月20日，由国际环保组织绿色和平与中华环保联合会联合发起，主题为“聚焦水-能关系，探索突破关键”沙龙活动，在绿色和平北京办公室顺利举行 ... ,发布日期：2020-12-29
河北尚义深入推行“煤改电”实现“绿色供热”,http://www.ocpe.com.cn/new/new2/2020-12-22/4184.html, 10月中旬，河北省张家口市尚义县新建110千伏变电站成功投运，该站为国内首座清洁能源供暖的专用变电站。河北中电科能供热有限公司供图河北新闻网讯（河北日报记者刘雅静） ... ,发布日期：2020-12-22
三十载防腐征程 新起点共创辉煌,http://www.ocpe.com.cn/new/new2/2020-12-21/4182.html," 摘要: ...  2020 年是全面建成小康社会和“十三五”规划的收官之年,也是广东省防腐蚀协会成立30周年。三十年仅仅是一个开始,也仅仅是广东防腐蚀协会历史上一个小 ... ",发布日期：2020-12-21
雷锋精神在这里闪光 ――包头分公司开展“青春志,http://www.ocpe.com.cn/new/new2/2020-12-17/4176.html,         在第35个国际志愿者日到来之际，为进一步弘扬奉献、友爱、互助、进步的志愿精神，营造向上向善、人人争当志愿者的良好社会风尚，近日，铁路装备包头分公司组织志愿 ... ,发布日期：2020-12-17
中国海洋集团与中南美洲联盟合作建立远洋渔业基,http://www.ocpe.com.cn/new/new2/2020-12-17/4175.html,"          2020年12月8日,中国海洋集团发展有限公司与中南美洲联盟合作建立远洋渔业基地落地厄瓜多尔共和国。签约仪式在中国深圳喜来登酒店隆重举行。出席签约仪式的嘉宾有 ... ",发布日期：2020-12-17
中国光伏新增装机量保持全球领先,http://www.ocpe.com.cn/new/new2/2020-11-26/4134.html,          在日前举行的第五届中国光伏产业论坛上，中国光伏行业协会副理事长兼秘书长王勃华透露，截至2019年，中国光伏的新增装机量、累计装机量、多晶硅产量、组件产量已 ... ,发布日期：2020-11-26
"上半年""一带一路""项目可再生能源投资占比超过",http://www.ocpe.com.cn/new/new2/2020-11-26/4133.html,         近年来，在共建“一带一路”中，环保技术和绿色产业合作项目不断落地，中国与相关国家一道，加强在生态环境、生物多样性保护和应对气候变化领域的合作， ... ,发布日期：2020-11-26
院士云集长沙！2020长沙新材料产业博览会盛大开,http://www.ocpe.com.cn/new/new2/2020-11-08/4087.html,       11月6日，中国先进材料产业创新与发展大会暨2020长沙新材料产业博览会在湖南国际会展中心隆重召开。  作为全国新材料行业阵容最强大、规格最高的展会之一，湖南省人 ... ,发布日期：2020-11-08
20余位两院院士参会、600家新材料企业参展,http://www.ocpe.com.cn/new/new2/2020-10-13/4052.html, 10月12日，中国先进材料产业创新与发展大会暨2020长沙新材料产业博览会新闻发布会在长沙举办。记者从会上获悉，博览会由国家新材料产业发展专家咨询委员会指导，中国科协先进材料学会联合体、湖 ... ,发布日期：2020-10-13
提升“获得电力”服务水平 三年内可为小微企业节,http://www.ocpe.com.cn/new/new2/2020-09-30/4023.html,           国家发改委、国家能源局近日印发《关于全面提升“获得电力”服务水平 持续优化用电营商环境的意见》（以下简称《意见》），提出2022年底前，在全国范 ... ,发布日期：2020-09-30
长沙新材料展：600多家新材料先锋企业竟艳 推动,http://www.ocpe.com.cn/new/new2/2020-09-29/4019.html,11月6日至8日，中国先进材料产业创新及发展大会暨2020长沙新材料产业博览会将在湖南国际会展中心举行。9离展会开幕还有一个多月，来自全国600多家新材料先锋企业已启动筹备，报名、设计展台、印 ... ,发布日期：2020-09-29
2020东亚海洋博览会将于9月22-27日在青岛举办,http://www.ocpe.com.cn/new/new2/2020-09-18/3917.html,          近日记者从新闻发布会上获悉，作为2020东亚海洋合作平台青岛论坛的重要板块之一，以“开放融通 智享未来—蓝色&middot;海洋&middot;科技”为主题 ... ,发布日期：2020-09-18
三祥新材(603663)：落地动力电池包轻量化项目，,http://www.ocpe.com.cn/new/new2/2020-08-31/3820.html, 8月26日晚间，三祥新材(603663)公告称，为了推进公司在新材料行业的战略发展规划和布署，不断丰富公司产业链，公司拟与宁德时代(300750)、万顺集团、隽达投资、银泰投资按 ... ,发布日期：2020-08-31
独家揭秘8.20综合能源峰会：为何大佬们都在谈“,http://www.ocpe.com.cn/new/new2/2020-08-26/3766.html," 干货满满!佳岚智能分享“电力物联构建数字能源经济的方案与实践”2020年8月20日-21日,第二届综合能源服务落地实践峰会暨综合能源服务生态大会在南京隆重召开,佳 ... ",发布日期：2020-08-26
G7推出“网络货运365免费计划”，意在大力推广网,http://www.ocpe.com.cn/new/new2/2020-08-22/3663.html, ... ,发布日期：2020-08-22
