标准号,标准名称,发布日期,实施日期,状态,查看详情
GB/T 32865-2025,致密砂岩气产品质量要求和试验方法,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=1304878CBC98E5B7856CCC5DBE877E75
GB/T 33296-2025,页岩气产品质量要求和试验方法,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=F68F27BDB2EBC1590A76D529B6F6878E
GB/T 20604-2025,天然气  词汇,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=3E763D98EBA6CC72DD6042A646FF6A54
GB/T 45546-2025,骨类调味料质量通则,2025-04-25,"
												
												
												2026-05-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=7881579AFDCE3DCEFA8A4B5F71079E0F
GB/T 45413-2025,供水管网水锤监测系统通用技术要求,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=47242910D67C00D603DA4DEFDC349AB3
GB/T 45632-2025,数字航空摄影测量 控制测量规范,2025-04-25,"
												
												
												2025-08-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=693519B381FBBF697071019B82D268FF
GB/T 45563.1-2025,知识产权鉴定规范 第1部分：总则,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=15106F6A011AA5F85545A8EF8CB7416F
GB/T 45563.2-2025,知识产权鉴定规范 第2部分：专利,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=B5CE3AA268B28E0B14FCCA8158D301D5
GB/T 45563.3-2025,知识产权鉴定规范 第3部分：商标,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=E1239F1CAC1DECE3B079EA8CF490A215
GB/T 45517-2025,玩具及儿童用品中苯酚的测定  高效液相色谱法,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=D0C1509D88D2232AF880DA9277411C6D
GB/T 33411-2025,酶联免疫分析试剂盒通则,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=60BB7973F881B495730423D0CCC63EBC
GB/T 45628-2025,人工智能 知识图谱 知识交换协议,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=B8C141AB9E8D922A3D8285BEF067DC50
GB/T 45500-2025,车载激光雷达性能要求及试验方法,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=025947B02F32ED0B39F97F04237FB509
GB/T 45523.1-2025,放射性物质远程操作装置 第1部分：通用要求,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=6BD021EA50C5B4F21CB9077058436B72
GB/T 45523.2-2025,放射性物质远程操作装置 第2部分：机械式主从机械手,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=AD8C4A28C007CE5530CF77556D9D70C8
GB/T 45523.3-2025,放射性物质远程操作装置 第3部分：电随动主从机械手,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=7FD935D5019166405158E399ED85A766
GB/T 45523.4-2025,放射性物质远程操作装置 第4部分：动力机械手,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=404C3306C36D324485A0BFBCCA515F3B
GB/T 45523.5-2025,放射性物质远程操作装置 第5部分：剑式机械手,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=56802E9F2BBFE42C3E94B258DCDEDF9C
GB/T 45548-2025,氘代试剂同位素丰度的测定 核磁共振波谱法,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=BA654797F57AC1CF01EC048EA88A89EB
GB/T 45545-2025,厨房家具  配合尺寸,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=66EC6C622CB07EAF00D32AFC856B4A31
GB/T 43529.8-2025,利用电子表格标准化产品本体的注册和传递 第8部分：数据块的网络服务接口,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=45578A0D7D4E745B363C568CC3A6B013
GB/T 45521-2025,智慧城市基础设施 基于地理信息的城市基础设施数据交换与共享指南,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=1193022C46BE4CE56C4C29BF36A2CBA8
GB/T 45505.4-2025,平板显示器基板玻璃测试方法 第4部分：力学性能,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=156D7804DDD521883A7F17933B1BDFEF
GB/T 45597-2025,金属材料 残余应力测定 短波长X射线衍射法,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=9EDEB0FBE9029BE4C1221352A480DCE1
GB/T 45569-2025,压水堆核电厂反应堆冷却剂系统设备和管道保温层设计准则,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=40F2D2DE2CD24F8F6DF7260C3E3F6B1C
GB/T 45562-2025,重型机械  自动化系统设计规范,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=43322C22793A0E644EBDE880E8CB1061
GB/T 45656-2025,二手电子产品可用程度分级规范,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=78CE40189798B4568879A068B1B773DC
GB/T 45547-2025,食品生产追溯体系通用技术规范,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=2BBADA961A371F7660BD2DF01E1C1FCC
GB/T 45620-2025,农资商品电子代码编码规则,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=B3D965E13EDFB6B7DC6E45636B325777
GB/T 45616.4-2025,自动化系统与集成 面向制造的数字孪生框架 第4部分：信息交换,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=3FD0D244B31D9AE68F6742741569B850
GB/T 45536-2025,感官分析实验室  质量控制指南,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=A77AF349E468EA2D0B34DBDF992CF613
GB/T 45526-2025,北斗/全球卫星导航系统（GNSS）实时动态精密单点定位状态域改正产品规范,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=8F0F7599E673F177865D14BE5A5B650A
GB/T 45633-2025,人类唾液样本采集与处理,2025-04-25,"
												
												
												2025-04-25
												
												
											",现行,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=CB98BE2ED912265B188FE9E12033D5F7
GB/T 45522-2025,无人机遥感测绘注册规范,2025-04-25,"
												
												
												2025-08-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=B59858FFBC0A72BF40E6661685273303
GB/T 19405.3-2025,表面安装技术 第3部分：通孔回流焊用元器件规范的标准方法,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=92CFCF07CC2825571AAB58D35D45C7A3
GB/T 45570-2025,光学陀螺仪通用技术要求,2025-04-25,"
												
												
												2025-08-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=E2B39BAA8CA961EBAB4BD9E37B4BDCFB
GB/T 25105.3-2025,工业通信网络  现场总线规范   类型10:PROFINET IO 规范  第3部分：PROFINET IO通信行规,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=304C732295CB7DF30D429B248E4F5D63
GB/T 45638-2025,使用条形码和二维符号的电子元器件产品包装标签,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=161C0013A83499AF87A44B6331D81993
GB/T 45529-2025,道路车辆 电气电子开关器件 继电器,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=8195980DCF7559ED5CE63C7A02082D84
GB/T 10781.3-2025,白酒质量要求 第3部分：米香型白酒,2025-04-25,"
												
												
												2026-05-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=A923F78C67D0B043A074B9696BDCE0DB
GB/T 32223-2025,建筑门窗五金件  通用要求,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=B45E539820DA0EB146D00058D201DF15
GB/T 45525.1-2025,纳米技术 纳米发电机 第1部分：术语,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=2D5A31C5BAB3AFE0770AB5E7DE06F462
GB/T 22939.2-2025,家用和类似用途电器包装 第2部分：吸油烟机的特殊要求,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=C87C816C78F52C5A31545038D0299D25
GB/T 2941-2025,橡胶 物理试验方法试样制备和调节通用程序,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=19F6406CD1C89CD2535357FFBDDF5732
GB/T 45503-2025,汽车以太网电子控制单元测试规程,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=BF68AE4FA68DCA06D4F913869B629C07
GB/T 45555-2025,香猪,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=EEE19ABFF43DD840FCC74CB8568927F8
GB/T 45554-2025,种猪生产性能测定技术规范,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=69665A3F2E7820FC04BF84FD9FE0B0BA
GB/T 32960.3-2025,电动汽车远程服务与管理系统技术规范 第3部分：通信协议及数据格式,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=868AD22C1502F9494A36019BB7B89737
GB/T 45393.1-2025,信息技术 建筑信息模型（BIM）软件 第1部分：通用要求,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=E983B1F7C2539C68B9B62F6C149AFFE8
GB/T 45393.3-2025,信息技术 建筑信息模型（BIM）软件 第3部分：模型视图定义,2025-04-25,"
												
												
												2025-11-01
												
												
											",即将实施,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=CD170BB72F76173BAA1C8CF32DEB41D9
