评论内容,评论时间,平均评分,点赞数
非常好的一次体验,2024-09-12IP属地：江苏,5分 超棒,"
点赞"
刘老师讲解的非常详细，很专业，了解每件珍宝的前世今生，对小朋友很有耐心，超二个小时的讲解涵盖精华，一家人收获满满，体验感非常好。,2024-09-12IP属地：江苏,5分 超棒,"
点赞"
时间推迟 体验过极差,2024-09-10IP属地：江苏,1分 不佳,"
点赞"
值得一去再去，假期人太多了，需要一个人静静的欣赏这些宝藏。不好预约。,2024-09-10IP属地：广东,4.6,"
点赞"
讲解很详细。,2024-09-08IP属地：江苏,5分 超棒,"
点赞"
导游很热情 解说也很细致,2024-09-07IP属地：上海,5分 超棒,"
点赞"
"珍宝之殿南京博物院，琳琅满架的藏品尽显历史的厚重与细腻。这次有幸遇到了历史知识丰富的讲解员～李姐李姐在博物馆里真是个宝藏级人物啊!她关于历史的见解超级独到👍,每次听她说都感觉自己长了不少见识呢~必须赞一个！",2024-09-07IP属地：上海,5分 超棒,"
点赞"
解说详细具体有耐心，文物很有历史价值，收获颇丰，下次还会再来。@南京博物院,2024-09-06IP属地：江苏,3分 不错,"
点赞"
张老师对历史很了解，讲解很清晰，不听讲解真的白看,2024-09-06IP属地：江苏,5分 超棒,"
点赞"
讲解很专业,2024-09-06IP属地：江苏,5分 超棒,"
点赞"
非常感谢聆听飞哥的南博讲解，讲解很详细很棒，过程中还会不时打开手机相册拓展讲解知识，很好，推荐！！！ 附两张喜欢的文物展品,2024-09-04IP属地：江苏,5分 超棒,"
点赞"
讲解专业，有耐心。,2024-09-03IP属地：江苏,5分 超棒,"
点赞"
时导讲解很细致，非常满意,2024-09-03IP属地：江苏,5分 超棒,"
点赞"
现在博物院都很热门，很难预约到票，临时决定出行，没时间抢票，预约个讲解，能进去观赏，还能提高游览效率，体验感很好。适合临时决定出游的人。,2024-08-13IP属地：江苏,5分 超棒,"
点赞"
自己抢票根本就抢不到，只有在携程上买团体票。南京博物院作为三大博物院之一，火爆程度可想而知。能够买到票也算不错。因为时间和导游节奏安排等原因，没有跟着一起走就相当于代买了个门票进去。。,2024-08-11IP属地：四川,4.6,"
1"
南京博物馆非常好、讲解员很厉害，知识渊博，藏品丰富，历史悠久，里面的美食也和不错，如好还有机会，一定要再来一次，好好玩几天,2024-08-09IP属地：浙江,5分 超棒,"
点赞"
南京博物院不愧是院子头的大博物馆，藏品丰富历史性强，下次还要过来看,2024-08-09IP属地：浙江,5分 超棒,"
点赞"
姓龚的导游讲解太差，声音小，吐字不清楚，有口音听不懂。一点不专业，死板,2024-07-31IP属地：江苏,1分 不佳,"
点赞"
姓龚的导游讲解太差，一点不专业，死板，什么内容也没有讲出来，数字馆和民国馆没有时间就都没看上。太差了,2024-07-31IP属地：江苏,5分 超棒,"
点赞"
导游很好，值得一去,2024-07-30IP属地：陕西,5分 超棒,"
点赞"
讲的很不专业，没有逻辑性。没有把南京的特点，历史，有条理的讲下来。9点开始，10:40左右就草草结束了。 讲解博物馆很考研积累，普通人其实讲不了。这次是几次参观博物馆里最糟糕的一次。,2024-07-28IP属地：江苏,5分 超棒,"
点赞"
昨天晚上现抢了一张票，虽然早上十点到，下午三点才进去，也不虚此行。因为有幸遇到王忻老师，渊博的历史知识储量，精选二个小时的重点，一点没浪费，演讲过程中不停地照顾孩子，走时还告诉另外一些值得一去的景点，为他的专业及素质点赞！！！,2024-07-14IP属地：江苏,5分 超棒,"
点赞"
导游讲解很风趣，小朋友听的津津有味,2024-07-09IP属地：浙江,5分 超棒,"
点赞"
南京博物院是中国四大博物馆之一，位于南京市，拥有丰富的历史文物和展览，是一个值得一游的历史文化景点！去之前记得预约！那么有名的博物馆现场毫无管理可言，从进门排队开始就毫无秩序，也没有任何一个工作人员在现场维持秩序，管理混乱到一定地步！游玩体验极差。,2024-06-30IP属地：江苏,5分 超棒,"
3"
混乱十分的混乱，工作人员态度极其恶劣，浪费时间,2024-06-29IP属地：江苏,5分 超棒,"
点赞"
带了两个孩子参观南博，因为是用护照预定的门票，没有任何标识要去哪里取票，以为和故宫一样只要是人工客服就可以帮忙检票。结果先去了艺术馆排队，到了让去历史馆正门，又去排队，大太阳底下排到了，安检一挥手让去窗口，问窗口在哪里，极其不耐烦地往墙边指指，中间大厅的女工作人员态度还可以，往正确方向指了一下，我说你们没有任何提示，让我们怎么知道呢？！于是又排了第三个队，还是没有任何关于拿护照在此换票的提示，特意拍了照片。前面一个护照尾号输入错误的又耽误了十几二十分钟，里面两个工作人员，只有一个在工作，外面排了很长的队。本来一个告示或者人工操作就可以解决的问题，折腾了快一个小时才进去。对南京博物院的人员和设备十分失望。这还是我懂中文可以交流的前提下，如果是不懂中文的，完全搞不清状况。另外艺术馆基本上没有展厅开放，历史馆人满为患，都拥堵在有解说的物品前观看。希望能够好好借鉴一下其他博物馆的安排，以游客的角度审视一下流程，做一下人员培训。,2024-06-21IP属地：美国,4.6,"
6"
很好，值得推荐。,2024-06-11IP属地：浙江,5分 超棒,"
点赞"
超值的一次体验,2024-06-09IP属地：北京,5分 超棒,"
点赞"
南京博物院简称南院或南博，其前身是民国二十二年（1933年）蔡元培等倡建的国立中央博物院，是中国创建最早的博物馆、中国第一座由国家投资兴建的大型综合类博物馆。 南京博物院占地13万余平方米，为“一院六馆”格局，即历史馆、特展馆、数字馆、艺术馆、非遗馆、民国馆。,2024-06-09IP属地：江苏,5分 超棒,"
8"
挺精致的，给孩子留个纪念,2024-05-20IP属地：吉林,5分 超棒,"
点赞"
下次还来！,2024-05-19IP属地：北京,5分 超棒,"
点赞"
讲解水平很差,2024-05-13IP属地：广东,5分 超棒,"
点赞"
维维讲解耐心细致，看了多个镇院之宝，值得一游！！！不过，人真的很多，幸好提前预约！,2024-05-05IP属地：江苏,5分 超棒,"
1"
基本讲解了所有文物，拓展了很多知识，胡老师知识丰富，对孩子很有耐心。,2024-05-05IP属地：江苏,1分 不佳,"
点赞"
第一次遇到携程给我安排一个这么个讲解员，讲解内容就是这是啥，你们自己看。内容没有衔接，历史没有描述，人物没有介绍，还不如门口60一位的野导游。携程这么糊弄人，好自为之吧。,2024-05-05IP属地：江苏,1分 不佳,"
1"
讲的很详细,2024-05-04IP属地：浙江,5分 超棒,"
点赞"
中午一点去的，不用排队直接检票进场，免费预约票没抢到，不过预约的讲解老师很专业，讲得很棒，两个小时下来，虽然累了些，但大人孩子听的都很有趣,2024-05-03IP属地：江苏,4.6,"
点赞"
携程上预约了5.3南京博物院，到了后竟然被告知没有用，没用为啥不关闭通道，大老远白跑一趟，费时费力，人又多，差评，差评，差评,2024-05-03IP属地：江苏,1分 不佳,"
点赞"
导游服务较好,2024-05-01IP属地：江苏,5分 超棒,"
点赞"
导游人超好，讲解的很详细，棒棒哒！满分,2024-05-01IP属地：江苏,5分 超棒,"
点赞"
还行吧，方便了很多,2024-05-01IP属地：山西,1分 不佳,"
点赞"
丁丁老师讲解很好，专业、耐心，认真，对历史了解度高，好评。,2024-04-30IP属地：江苏,1分 不佳,"
点赞"
非常有深度的讲解,2024-04-29IP属地：辽宁,1分 不佳,"
点赞"
萍萍姐姐很耐心，知识渊博，演讲生动，非常值得，如果有机会海会再来,2024-04-28IP属地：江苏,5分 超棒,"
点赞"
非常不错的地方,2024-04-27IP属地：辽宁,5分 超棒,"
点赞"
误订，退不了！,2024-04-26IP属地：河南,5分 超棒,"
点赞"
展品丰富，展馆大,2024-04-24IP属地：吉林,5分 超棒,"
点赞"
没想到会当天放票，预约的这个解说很无聊，人很多，又热又闷，周边小粉炉也没买到，卖完了。,2024-04-24IP属地：江苏,4.6,"
点赞"
去的时候因为行程调整耽误了一点时间，在门口没进去特别着急。后来联系到了，讲的非常仔细，还重新把我没听到的补充了一下。非常感谢，好评。,2024-04-21IP属地：江苏,5分 超棒,"
点赞"
很充实的三个小时，导游小雨也是十分专业，尽量错峰，使得观感上升了不少。讲解内容也非常丰富，很愉快的博物馆之旅。被小猛兽们治愈的一天。,2024-04-16IP属地：江苏,1分 不佳,"
点赞"
总体还行吧,2024-04-14IP属地：江苏,5分 超棒,"
点赞"
南博很棒，值得我们一去再去。讲解员老师很不错！,2024-04-10IP属地：北京,5分 超棒,"
点赞"
为什么不售票呢？免费预订，根本订不到，但花钱却当天隔天都可以。这样明目张胆的利益输送，为什么不直接定个票价，让博物院增收？,2024-04-10IP属地：江苏,1分 不佳,"
10"
博物馆值得一去，讲解员水平有待加强，对于我们这种有历史背景的，随便提了一两个问题，都答不上来，讲的也有点水,2024-04-08IP属地：广西,5分 超棒,"
点赞"
讲解细致专业，非常不错,2024-04-07IP属地：江苏,5分 超棒,"
点赞"
蔡老师讲解不错 知识渊博,2024-04-06IP属地：江苏,1分 不佳,"
点赞"
下次愿意再选择大咖说,2024-04-06IP属地：江苏,5分 超棒,"
点赞"
小团讲解很好，解说很生动，人少体验感也要好许多，孩子也学到了许多知识,2024-04-06IP属地：江苏,5分 超棒,"
点赞"
服务超级好,2024-04-06IP属地：江苏,4.6,"
点赞"
"这次在携程预订的讲解，有提前主动联系，体验还不错。印象最深的就是蔡磊导游的生动讲解，知识渊博,让我们对历史和文化有了更深的了解,非常感谢!",2024-04-06IP属地：江苏,5分 超棒,"
点赞"
知识渊博，谈吐风趣，讲解的非常详细，虽然超出规定时间，仍然耐心讲解。,2024-04-05IP属地：浙江,5分 超棒,"
点赞"
讲解的傅小姐，讲解得很好 特别适合给小朋友们讲解南博的文物历史,2024-04-05IP属地：上海,5分 超棒,"
点赞"
馆藏文物丰富，值得一游，特别适合学生增加知识，历史馆珍宝多，很多是国内唯一，令人叹为观止。文创产品丰富，服务设施齐全，寄存行李等服务免费。,2024-04-05IP属地：江苏,5分 超棒,"
点赞"
讲解细致，小朋友很喜欢,2024-04-05IP属地：江苏,5分 超棒,"
点赞"
管导讲解很详细，听的很过瘾,2024-04-05IP属地：江苏,1分 不佳,"
点赞"
体验非常好，解说员很专业，小朋友受益很多,2024-04-05IP属地：江苏,5分 超棒,"
点赞"
此次博物院的旅行受益匪浅，王雨导游的讲解生动有趣，通过历史馆的讲解了解了中国源远流长的历史，也了解了古代人的智慧，不断的发展和进步，包括见识了很多件镇馆之宝，了解了古代艺术与文化，受益匪浅。也感谢最后帮助拍照，完美结束参观，拍照技术很棒,2024-04-05IP属地：江苏,3分 不错,"
1"
"值得多次去，因为一次看不全，""大宝贝""都是展一半藏起来一半。",2024-04-04IP属地：江苏,5分 超棒,"
1"
高老师讲解清晰完整，富有趣味性！,2024-04-04IP属地：浙江,5分 超棒,"
点赞"
刘卿老师的讲解非常专业、有体系、吸引人、有干货。两个7岁孩子全程3个小时听讲下来，不枯燥，收货很多，南博的镇馆之宝都有讲解，这个私家团超值，强烈推荐。,2024-04-04IP属地：江苏,4.6,"
点赞"
总体来说由于南京博物院现场人太多而导致体验感不佳。 但是，导游讲解小团还是很不错的，会照顾到小朋友，始终带着小朋友对着小朋友讲。 不过，当天的讲解设备有问题，声音忽大忽小，影响体验感。希望能够改善设备。,2024-04-03IP属地：上海,5分 超棒,"
1"
上次和朋友去的时候没有请导演，感觉看完了什么都没了解到。这次爸妈来特意找了导游。超级可爱的小姐姐，讲解很清楚。,2024-04-03IP属地：江苏,5分 超棒,"
点赞"
预约讲解含门票，也省的自己抢预约名额了。王丽丽老师讲的很生动有趣，知道很多历史知识，整个行程三个多小时也听下来了，没觉得无聊。南博人太多了，展品都很好看。我最喜欢金兽和竹林七贤的墙砖，非常值得一看的地方,2024-03-31IP属地：上海,1分 不佳,"
点赞"
导游特别有耐心，讲解特别详细，值得拥有，建议第一次去的小朋友们一定要请一个，更好地感受博物院的深度和广度，加深对江苏历史的了解！建议穿运动鞋，真的很大，要逛大半天！,2024-03-31IP属地：江苏,3分 不错,"
点赞"
马兰小姐姐讲解的很棒，风趣又故事性很强。从前一天就开始联系我们，给了我们一些玩的建议，而且也很负责，一直在跟我们沟通情况，特别好！下次我们来南博还找她,2024-03-31IP属地：山东,5分 超棒,"
点赞"
导游很不错，讲解很仔细,2024-03-31IP属地：江苏,5分 超棒,"
点赞"
讲解很到位，孩子听得很认真！,2024-03-31IP属地：江苏,5分 超棒,"
点赞"
萍萍老师接待了我们，带了两个娃，请个私人讲解还是很有必要，重点看了历史馆，还有几个特展馆，讲解因材施教，两个娃听得津津有味，临行还介绍了吃行，很是贴心，好评，感谢！,2024-03-31IP属地：江苏,5分 超棒,"
点赞"
态度非常亲切,2024-03-30IP属地：江苏,5分 超棒,"
点赞"
史老师讲解很好！文物历史了解的很透彻又有趣～两个小时太快了，下次得约三个小时的！跟男朋友一起，生动又贴合实际。也拍了很多藏品近照。,2024-03-30IP属地：湖南,5分 超棒,"
点赞"
导游小姐姐服务超棒，态度和蔼可亲，热情周到,2024-03-30IP属地：江苏,4.6,"
点赞"
携程的第三方讲解人员，水平太差啦。讲不出来历史，只知道陈列品的字面意思，不清楚历史故事。不再推荐购买携程这种讲解服务，不如到展馆找专业讲解。性价比还好,2024-03-30IP属地：江苏,5分 超棒,"
点赞"
史老师讲解的特别详细生动，也拓宽了我们的历史视野，还特别亲切的送了两个孩子小礼物。非常非常推荐带孩子的家长找史老师，会给孩子一次非凡的体验。,2024-03-30IP属地：江苏,5分 超棒,"
1"
非常满意，很好,2024-03-30IP属地：江苏,5分 超棒,"
点赞"
马老师讲解的深入浅出，通过讲解古文物将历史串联，非常棒非常值的讲解，推荐！,2024-03-29IP属地：江苏,5分 超棒,"
点赞"
非常值得推荐,2024-03-27IP属地：上海,5分 超棒,"
点赞"
蔡老师知识渊博，热情洋溢，人也幽默自在，感谢🙏🏻，期待下次见面,2024-03-26IP属地：江苏,5分 超棒,"
点赞"
讲解的挺好,2024-03-24IP属地：江苏,5分 超棒,"
点赞"
小姐姐讲的特别详细，把展出的镇馆之宝都讲的很详细,2024-03-21IP属地：江苏,5分 超棒,"
点赞"
比较不错。,2024-03-18IP属地：浙江,5分 超棒,"
点赞"
导游超级棒 知识面很广 什么都知道 讲的很生动 小朋友都很喜欢 听的津津有味 下次去博物馆还要请 否则真的是囫囵吞枣 转一圈啥也没看到 博物馆导游讲解真的是非常必要 而且导游还知道最捷径的路线 少走冤枉路,2024-03-11IP属地：安徽,5分 超棒,"
点赞"
讲解员姐姐解说很耐心，不过再根据客人人群有针对性的加一些趣味故事就好啦,2024-03-11IP属地：北京,4.6,"
点赞"
含南博预约，导游提前一天联系，太适合拖家带口的亲子游了。博物院里人山人海，重点几项都讲到了。,2024-03-11IP属地：浙江,4分 满意,"
点赞"
讲解的让人想睡觉，时间有限只能说一部分，跟着导游走，知道讲不完也不会提前问对什么感兴趣选择有兴趣的，都是导游觉得有意义的他就讲，接待用的，客人反馈很差，都别买！找不到投诉的地儿直接是,2024-02-27IP属地：江苏,5分 超棒,"
点赞"
南博南屠门票预约。 【趣味】棒 【景色】棒,2024-02-26IP属地：江苏,5分 超棒,"
点赞"
小姐姐知识很丰富，对南京的所有景点都比较了解，再讲解的时候能够把历史串起来，讲解有重点，着重讲解了特展区的文物，因为特展的文物不会总能看到，我们这次是赶上了90周年,2024-02-24IP属地：江苏,5分 超棒,"
点赞"
讲的非常棒,2024-02-24IP属地：江苏,5分 超棒,"
点赞"
讲的不错，收获满满,2024-02-23IP属地：天津,5分 超棒,"
点赞"
直接租个讲解器就可以，人工讲解体验感不好，讲的不好，不够详细，没有趣味，就是对着展品讲，历史知识点讲的不多，没有故事的延展性，而且又贵，性价比不高！,2024-02-22IP属地：江苏,5分 超棒,"
点赞"
总体还可以吧，孩子学到很多。讲解很有耐心的。人很多，小姐姐就找地方让孩子们坐下来，自己站着给他们讲。挺辛苦的。总体很满意的,2024-02-20IP属地：江苏,5分 超棒,"
点赞"
服务非常好,2024-02-20IP属地：江苏,5分 超棒,"
点赞"
孙导讲解详细，非常棒👍🏻！,2024-02-20IP属地：江苏,5分 超棒,"
点赞"
私家小团，李导游服务热情、细致、很有耐心，可以根据个人需要给合理安排时间和参观路线，博物馆人很多并且闷热，导游还帮忙安抚孩子情绪。在讲解方面，个人认为导游普通话不错，讲解过程中能够体现她的专业知识范围覆盖广泛，对孩子语文学习有所启发，非常有价值的一次导游服务。,2024-02-18IP属地：江苏,4.6,"
点赞"
很愉快的博物馆之旅 感谢导游小姐姐的认真讲解 解锁了很多知识 以后还会再来的 南博的馆藏丰富 值得常来看看 还有好多好多要慢慢看,2024-02-17IP属地：北京,4分 满意,"
点赞"
好，非常好！,2024-02-16IP属地：广东,1分 不佳,"
点赞"
导游非常专业！非常好的讲解！,2024-02-16IP属地：江苏,5分 超棒,"
点赞"
南京绝对是我去过最差的旅游城市，没有之一。我们一行七人（包括两个老人家和两个小孩）千里迢迢从广州来到南京旅行过年，目的是为了带他们见识南京博物院的历史文化。出发前半个月在携程预订的门票，由江苏太某洋国际旅行社有限公司代理的产品。2月12日晚上接到该公司讲解员的确认电话。2月13日下午两点我们准时到南博院入口，但是南博院入门系统显示我们一行人的所有人都预约无效。同行该团队有近十个家庭都是如此情况，该公司人员开始时要求我们办理退款手续，说是南博限流导致随机抽取进入人员，及后报警在警察的陪同下到客服中心，客服中心出示该公司名单团队票名单并没有我们名字，公司人员改口说是工作人员失误输错名字，她们公司只能退款处理，还口出狂言＂爱投诉就投诉，爱起诉就起诉，能拿我怎样＂，随后扬长而去。我们出来后经其他旅行社导游告知，是游客太多，黄牛票价炒到150～300，所以该旅行社把我们的团体票名额卖给黄牛。该公司工作人员与黄牛党勾结的嫌疑，如该情况属实，该公司涉嫌商业欺诈的嫌疑。这种情况实在给南京文旅抹黑。携程平台应对该公司的代理资格重新审核，并作出处罚，否则有损携程网公平公正的口碑，我作为携程的会员对携程产品质量十分失望。,2024-02-14IP属地：江苏,5分 超棒,"
32"
莫老师很专业，就是时间不够。,2024-02-13IP属地：四川,5分 超棒,"
点赞"
希望能观展的都是真正喜欢历史，喜欢文化，喜欢研究的人群，而不是拿着手机抢队插队打卡拍照的一群莽夫，在历史面前对这些人真的很无语。,2024-02-12IP属地：江苏,5分 超棒,"
点赞"
年初二，南博徐老师讲解的绘声绘色，超赞👍,2024-02-11IP属地：江苏,5分 超棒,"
点赞"
体验感不错,2024-02-08IP属地：江苏,5分 超棒,"
点赞"
讲解详细，非常值得！,2024-02-08IP属地：江苏,5分 超棒,"
点赞"
讲解精彩到位。,2024-02-08IP属地：江苏,5分 超棒,"
点赞"
老师很专业，声音柔美，一家人收获满满，感觉这个比其他途径的，更靠谱,2024-02-07IP属地：江苏,4.6,"
点赞"
李导非常尽业，早早的就到达馆内等候。两个小时的讲解也非常细致，意犹未尽。,2024-02-07IP属地：江苏,5分 超棒,"
点赞"
讲解清楚，认真负责,2024-02-07IP属地：江苏,5分 超棒,"
点赞"
讲解细致，很好,2024-02-07IP属地：江苏,5分 超棒,"
点赞"
讲解得很赞，孩子听得很高兴😊,2024-02-06IP属地：江苏,1分 不佳,"
点赞"
讲解到位，细致耐心，态度和蔼！,2024-02-06IP属地：江苏,5分 超棒,"
点赞"
郭导特别好，很专业。预约的时间，准时到达。馆内人很多，但是郭导很耐心的讲解每一个文物。推荐！,2024-02-06IP属地：江苏,5分 超棒,"
点赞"
讲解耐心！非常好！,2024-02-06IP属地：江苏,5分 超棒,"
点赞"
导游讲解很认真很负责任，3个小时讲的很仔细，非常赞👍👍👍,2024-02-06IP属地：江苏,5分 超棒,"
点赞"
非常不错，挺好的,2024-02-06IP属地：海南,4分 满意,"
点赞"
老师非常耐心的讲解，非常nice,2024-02-04IP属地：江苏,4分 满意,"
点赞"
认真负责 有耐心,2024-02-04IP属地：江苏,4.6,"
点赞"
体验感不错,2024-02-04IP属地：江苏,5分 超棒,"
点赞"
很满意 讲的非常的好,2024-02-04IP属地：安徽,5分 超棒,"
点赞"
讲解很仔细，导游很专业,2024-02-04IP属地：江苏,5分 超棒,"
点赞"
南京博物院很好，朱导讲解很好,2024-02-04IP属地：江苏,5分 超棒,"
点赞"
今天的讲解员非常博学，而且非要热心，结束后还帮忙提供下个行程的停车攻略，非常Nice,2024-02-04IP属地：江苏,5分 超棒,"
点赞"
谢谢老师的讲解，专业又耐心，满满三小时的硬货知识，我家儿子听得很满意。谢谢啦！,2024-02-03IP属地：江苏,5分 超棒,"
点赞"
导游很热情，3小时辛苦啦，认真又细致，引导我们到人少的地方。很好的旅游体验,2024-02-03IP属地：福建,1分 不佳,"
点赞"
南博的这次体验感很好，飞哥的讲解耐心又专业，我推！！ 飞哥的讲解仿佛让这些千百年的文物瞬间鲜活起来 让参观者的我们瞬间穿越到那个时刻 强烈地感受着中华民族上下五千年的历史文化魅力 中国三大博物院就剩故宫了，改天也去打个卡就圆满了😃,2024-02-03IP属地：上海,5分 超棒,"
2"
徐导讲的非常好，很有耐心，小朋友很喜欢,2024-02-03IP属地：江苏,2分 一般,"
点赞"
讲解员讲解细心，讲解生动,2024-02-03IP属地：江苏,5分 超棒,"
点赞"
朱导讲解认真详实,2024-02-03IP属地：江苏,4.6,"
点赞"
讲解详细，工作热情,2024-02-02IP属地：江苏,5分 超棒,"
点赞"
讲解生动活泼,2024-02-02IP属地：江苏,5分 超棒,"
点赞"
讲解老师非常非常非常非常的专业。两个小时的讲解讲了我们南京博物院的一些镇院之宝。也赶上博物院首次拿出的一些宝物。一定会去二刷,2024-02-01IP属地：上海,5分 超棒,"
点赞"
讲解专业，内容丰富，适合带娃增长见识，非常适宜亲子游的打卡地。,2024-01-31IP属地：江苏,5分 超棒,"
点赞"
讲解员很棒，说的好，还提前帮我们预定了放置行李箱,2024-01-31IP属地：福建,5分 超棒,"
点赞"
讲解员耐心讲解，南博之行圆满打卡完成,2024-01-31IP属地：江苏,5分 超棒,"
点赞"
物超所值啊,2024-01-31IP属地：江苏,5分 超棒,"
点赞"
感谢国家高级导游王炘王老师两个多小时的精彩了解，生动清晰，每个馆出来还给我们总结，小朋友是个历史迷，听得意犹未尽，学习了很多新知识。还给我们介绍了周边的没事，非常好。,2024-01-31IP属地：江苏,5分 超棒,"
点赞"
导游周到热情,2024-01-31IP属地：江苏,5分 超棒,"
点赞"
讲解挺好的 就是比起其他博物院，南京就没那么哇塞了。 我个人观点,2024-01-31IP属地：云南,5分 超棒,"
点赞"
什么南京博物院，预约约不上，饱满还没体验，也没什么东西，来的人都是看人的千万别去，去了让你难以忘怀。,2024-01-31IP属地：江苏,4.6,"
点赞"
不错。很幽默,2024-01-30IP属地：江苏,5分 超棒,"
点赞"
今天阕老师滔滔不绝的给我们讲解了3个小时，真是意犹未尽，很多重要的展品介绍的非常详细，让孩子增长了不少见识，学到了很多历史知识。,2024-01-30IP属地：江苏,5分 超棒,"
点赞"
老师很专业博学，讲解耐心细致！每一个重要的馆藏文物都进行了细致地讲解，让孩子们学到了很多知识。路线安排也很合理，在我们时间有限的情况下，尽可能多的把主要的几件珍宝都参观到了。,2024-01-30IP属地：江苏,5分 超棒,"
点赞"
